shift_tipe;nik;kdregu;kodejamkerja;inputdate;inputby;updatedate;updateby;id;tgl
;;NS          ;NSB                      ;2017-01-05 00:00:00;1115.184       ;;;120;2017-02-17
;;NS          ;NSC                      ;2017-01-05 00:00:00;1115.184       ;;;121;2017-02-18
;;NS          ;NSA                      ;2017-01-05 00:00:00;1115.184       ;;;122;2017-02-20
;;NS          ;NSA                      ;2017-01-05 00:00:00;1115.184       ;;;123;2017-02-21
;;NS          ;NSA                      ;2017-01-05 00:00:00;1115.184       ;;;124;2017-02-22
;;NS          ;NSA                      ;2017-01-05 00:00:00;1115.184       ;;;125;2017-02-23
;;NS          ;NSB                      ;2017-01-05 00:00:00;1115.184       ;;;126;2017-02-24
;;NS          ;NSC                      ;2017-01-05 00:00:00;1115.184       ;;;127;2017-02-25
;;NS          ;NSA                      ;2017-01-05 00:00:00;1115.184       ;;;128;2017-02-27
;;NS          ;NSA                      ;2017-01-05 00:00:00;1115.184       ;;;129;2017-02-28
;;NS          ;NSA                      ;2017-01-05 00:00:00;1115.184       ;;;130;2017-03-01
;;NS          ;NSA                      ;2017-01-05 00:00:00;1115.184       ;;;131;2017-03-02
;;NS          ;NSB                      ;2017-01-05 00:00:00;1115.184       ;;;132;2017-03-03
;;NS          ;NSC                      ;2017-01-05 00:00:00;1115.184       ;;;133;2017-03-04
;;NS          ;NSA                      ;2017-01-05 00:00:00;1115.184       ;;;134;2017-03-06
;;NS          ;NSA                      ;2017-01-05 00:00:00;1115.184       ;;;135;2017-03-07
;;NS          ;NSA                      ;2017-01-05 00:00:00;1115.184       ;;;136;2017-03-08
;;NS          ;NSA                      ;2017-01-05 00:00:00;1115.184       ;;;137;2017-03-09
;;NS          ;NSB                      ;2017-01-05 00:00:00;1115.184       ;;;138;2017-03-10
;;NS          ;NSC                      ;2017-01-05 00:00:00;1115.184       ;;;139;2017-03-11
;;NS          ;NSA                      ;2017-01-05 00:00:00;1115.184       ;;;140;2017-03-13
;;NS          ;NSA                      ;2017-01-05 00:00:00;1115.184       ;;;141;2017-03-14
;;NS          ;NSA                      ;2017-01-05 00:00:00;1115.184       ;;;142;2017-03-15
;;NS          ;NSA                      ;2017-01-05 00:00:00;1115.184       ;;;143;2017-03-16
;;NS          ;NSB                      ;2017-01-05 00:00:00;1115.184       ;;;144;2017-03-17
;;NS          ;NSC                      ;2017-01-05 00:00:00;1115.184       ;;;145;2017-03-18
;;NS          ;NSA                      ;2017-01-05 00:00:00;1115.184       ;;;146;2017-03-20
;;NS          ;NSA                      ;2017-01-05 00:00:00;1115.184       ;;;147;2017-03-21
;;NS          ;NSA                      ;2017-01-05 00:00:00;1115.184       ;;;148;2017-03-22
;;NS          ;NSA                      ;2017-01-05 00:00:00;1115.184       ;;;149;2017-03-23
;;NS          ;NSB                      ;2017-01-05 00:00:00;1115.184       ;;;150;2017-03-24
;;NS          ;NSC                      ;2017-01-05 00:00:00;1115.184       ;;;151;2017-03-25
;;NS          ;NSA                      ;2017-01-05 00:00:00;1115.184       ;;;152;2017-03-27
;;NS          ;NSA                      ;2017-01-05 00:00:00;1115.184       ;;;153;2017-03-28
;;NS          ;NSA                      ;2017-01-05 00:00:00;1115.184       ;;;154;2017-03-29
;;NS          ;NSA                      ;2017-01-05 00:00:00;1115.184       ;;;155;2017-03-30
;;NS          ;NSB                      ;2017-01-05 00:00:00;1115.184       ;;;156;2017-03-31
;;NS          ;NSC                      ;2017-01-05 00:00:00;1115.184       ;;;157;2017-04-01
;;NS          ;NSA                      ;2017-01-05 00:00:00;1115.184       ;;;158;2017-04-03
;;NS          ;NSA                      ;2017-01-05 00:00:00;1115.184       ;;;159;2017-04-04
;;NS          ;NSA                      ;2017-01-05 00:00:00;1115.184       ;;;160;2017-04-05
;;NS          ;NSA                      ;2017-01-05 00:00:00;1115.184       ;;;161;2017-04-06
;;NS          ;NSB                      ;2017-01-05 00:00:00;1115.184       ;;;162;2017-04-07
;;NS          ;NSC                      ;2017-01-05 00:00:00;1115.184       ;;;163;2017-04-08
;;NS          ;NSA                      ;2017-01-05 00:00:00;1115.184       ;;;164;2017-04-10
;;NS          ;NSA                      ;2017-01-05 00:00:00;1115.184       ;;;165;2017-04-11
;;NS          ;NSA                      ;2017-01-05 00:00:00;1115.184       ;;;166;2017-04-12
;;NS          ;NSA                      ;2017-01-05 00:00:00;1115.184       ;;;167;2017-04-13
