nodok;nik;nodok_ref;tgl_nodok_ref;tgl_kerja;kdijin;kdtrx;nominal;status;keterangan;input_date;approval_date;input_by;approval_by;delete_by;cancel_by;update_date;delete_date;cancel_date;update_by;shiftke;flag_cuti;cuti_nominal;jam_masuk_absen;jam_pulang_absen;urut;gajipokok;periode_gaji;nikmap;nodoktmp
0321.434    ;1017.283    ;;;2019-07-19;;;;I  ;;;;;;;;;;;;1;YES;0.00;;;7600;0.00;201907;;
0321.434    ;1017.283    ;;;2019-07-20;;;;I  ;;;;;;;;;;;;1;YES;0.00;;;7613;0.00;201907;;
0321.434    ;1017.283    ;;;2019-07-22;;;;I  ;;;;;;;;;;;;1;YES;0.00;;;7655;0.00;201907;;
0321.434    ;1017.283    ;;;2019-07-23;;;;I  ;;;;;;;;;;;;1;YES;0.00;;;7666;0.00;201907;;
0321.434    ;1017.285    ;;;2019-07-20;;;;I  ;;;;;;;;;;;;1;YES;0.00;;;7615;0.00;201907;;
0321.434    ;1115.185    ;;;2019-07-19;;;;I  ;;;;;;;;;;;;1;YES;0.00;;;7587;0.00;201907;;
0321.434    ;1115.185    ;;;2019-07-20;;;;I  ;;;;;;;;;;;;1;YES;0.00;;;7614;0.00;201907;;
0321.434    ;1115.185    ;;;2019-07-22;;;;I  ;;;;;;;;;;;;1;YES;0.00;;;7652;0.00;201907;;
0321.434    ;1115.185    ;;;2019-07-23;;;;I  ;;;;;;;;;;;;1;YES;0.00;;;7686;0.00;201907;;
0321.434    ;1116.237    ;;;2019-07-19;;;;I  ;;;;;;;;;;;;1;YES;0.00;;;7596;0.00;201907;;
0321.434    ;1116.237    ;;;2019-07-20;;;;I  ;;;;;;;;;;;;1;YES;0.00;;;7617;0.00;201907;;
0321.434    ;1116.237    ;;;2019-07-22;;;;I  ;;;;;;;;;;;;1;YES;0.00;;;7635;0.00;201907;;
0321.434    ;1116.237    ;;;2019-07-23;;;;I  ;;;;;;;;;;;;1;YES;0.00;;;7667;0.00;201907;;
0321.434    ;1118.338    ;;;2019-07-19;;;;I  ;;;;;;;;;;;;1;YES;0.00;;;7585;0.00;201907;;
0321.434    ;1118.338    ;;;2019-07-22;;;;I  ;;;;;;;;;;;;1;YES;0.00;;;7650;0.00;201907;;
0321.434    ;1118.338    ;;;2019-07-23;;;;I  ;;;;;;;;;;;;1;YES;0.00;;;7687;0.00;201907;;
0321.434    ;1215.190    ;;;2019-07-19;;;;I  ;;;;;;;;;;;;1;YES;0.00;;;7602;0.00;201907;;
0321.434    ;1215.190    ;;;2019-07-20;;;;I  ;;;;;;;;;;;;1;YES;0.00;;;7620;0.00;201907;;
0321.434    ;1215.190    ;;;2019-07-23;;;;I  ;;;;;;;;;;;;1;YES;0.00;;;7668;0.00;201907;;
